title,repourl
"
        TelegramBot",/itsRajatkumar/TelegramBot
"
        itsRajatkumar",/itsRajatkumar/itsRajatkumar
"
        Krishi-Lens",/itsRajatkumar/Krishi-Lens
"
        NodeJSTutorial",/itsRajatkumar/NodeJSTutorial
"
        RandomJoke",/itsRajatkumar/RandomJoke
"
        WebClock",/itsRajatkumar/WebClock
"
        itsRajatkumar.github.io",/itsRajatkumar/itsRajatkumar.github.io
"
        Chaosmaker-on-start",/itsRajatkumar/Chaosmaker-on-start
"
        school_algorithms",/itsRajatkumar/school_algorithms
"
        MusicHub",/itsRajatkumar/MusicHub
"
        ANPR_MANTHAN_ERROR404",/itsRajatkumar/ANPR_MANTHAN_ERROR404
"
        tictactoe",/itsRajatkumar/tictactoe
"
        knowyourglobe",/itsRajatkumar/knowyourglobe
"
        thesparkfoundation",/itsRajatkumar/thesparkfoundation
"
        PythonBasics",/itsRajatkumar/PythonBasics
"
        MachineLearning",/itsRajatkumar/MachineLearning
